title,targets,authors
Low-density parity check codes over GF(q),Compressive Coded Modulation for Seamless Rate Adaptation,"Matthew C. Davey,David J. C. MacKay","Hao Cui,Chong Luo,Jun Wu,Chang Wen Chen,Feng Wu"
Low-density parity check codes over GF(q),A Low Latency  Low-power Ldpc Decoder Design,"Matthew C. Davey,David J. C. MacKay","Z H Cai,S Chattong,T H Khine"
Low-density parity check codes over GF(q),A New Channel Coding Technique to Approach the Channel Capacity,"Matthew C. Davey,David J. C. MacKay","Mahesh Patel,A Annamalai"
Low-density parity check codes over GF(q),Matrix Algebra and Error-correcting Codes,"Matthew C. Davey,David J. C. MacKay","Aaron Fenyes"
Low-density parity check codes over GF(q),Channels with both random errors and burst erasures: Capacities  LDPC code thresholds  and code performances,"Matthew C. Davey,David J. C. MacKay","Kan Li,Aleksandar Kavcic,Raman Venkataramani,M. Fatih Erden"
Low-density parity check codes over GF(q),Quasi Cyclic LDPC Codes Based on Finite Set Systems,"Matthew C. Davey,David J. C. MacKay","Mohammad Gholami,Mehdi Samadieh"
Low-density parity check codes over GF(q),A Coding Theoretic Approach for Evaluating Accumulate Distribution on Minimum Cut Capacity of Weighted Random Graphs,"Matthew C. Davey,David J. C. MacKay","Tadashi Wadayama,Yuki Fujii"
Low-density parity check codes over GF(q),A General Method for Finding Low Error Rates of LDPC Codes,"Matthew C. Davey,David J. C. MacKay","Chad A. Cole,Stephen G. Wilson,Eric K. Hall,Thomas R. Giallorenzi"
Low-density parity check codes over GF(q),Adaptive MAP Detection via the EM Algorithm for LDPC-Coded MIMO-OFDM Mobile Communications,"Matthew C. Davey,David J. C. MacKay","Tsuyoshi Kashima,Kazuhiko Fukawa,Hiroshi Suzuki"
Low-density parity check codes over GF(q),On the Capacity of Data-dependent Autoregressive Noise Channels *,"Matthew C. Davey,David J. C. MacKay","Shaohua Yang,Aleksandar Kavči´c"
Low-density parity check codes over GF(q),20 Years of Turbo Coding and Energy-Aware Design Guidelines for Energy-Constrained Wireless Applications,"Matthew C. Davey,David J. C. MacKay","Matthew F. Brejza,Liang Li,Robert G. Maunder,Bashir M. Al-Hashimi,Claude Berrou,Lajos Hanzo"
Low-density parity check codes over GF(q),Low-Complexity Soft Decoding of Huffman Codes and Iterative Joint Source Channel Decoding,"Matthew C. Davey,David J. C. MacKay","Amin Zribi,Ramesh Pyndiah,Sonia Zaibi,Frédéric Guilloud,Ammar Bouallègue"
Low-density parity check codes over GF(q),Channel Code-Division Multiple Access and Its Multilevel-Structured LDPC-Based Instantiation,"Matthew C. Davey,David J. C. MacKay","Nicholas Bonello,Rong Zhang,Sheng Chen,Lajos Hanzo"
