node,authors
Finite-length Scaling Laws for Iterative Coding Systems Finite-length Scaling Laws for Iterative Coding Systems,"Jérémie Ezri,Ruediger Urbanke"
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,"Erdal Arikan"
Generalized Union Bound for Space-Time Codes,"Cong Ling"
Low-Density Parity-Check Code with Fast Decoding Speed,"Xudong Ma,En-Hui Yang"
A more accurate one-dimensional analysis and design of irregular LDPC codes,"Masoud Ardakani,Frank R. Kschischang"
Matrix Merging Scheme and Efficient Decoding Techniques for Reconfigurable QC-LDPC Decoders,"Min-An Chao,Xin-Yu Shih,An-Yeu Wu"
Polar Codes: Characterization of Exponent  Bounds  and Constructions,"Satish Babu Korada,Eren Sasoglu,Rüdiger L. Urbanke"
A General Method for Finding Low Error Rates of LDPC Codes,"Chad A. Cole,Stephen G. Wilson,Eric K. Hall,Thomas R. Giallorenzi"
Channels with both random errors and burst erasures: Capacities  LDPC code thresholds  and code performances,"Kan Li,Aleksandar Kavcic,Raman Venkataramani,M. Fatih Erden"
Code Optimization for Lossless Turbo Source Coding,"Nicolas Dütsch"
Multi-user Detection Schemes for TH PPM UWB System using LDPC Codes,"M A Jayasheela,Rajeswari"
Performing scalable lossy compression on pixel encrypted images,"Xiangui Kang,Anjie Peng,Xianyu Xu,Xiaochun Cao"
Construction of Irregular QC-LDPC Codes in Near-Earth Communications,"Hui Zhao,Xiaoxiao Bao,Liang Qin,Ruyan Wang,Hong Zhang"
Embedding polynomial time memory mapping and routing algorithms on-chip to design configurable decoder architectures,"Saeed-ur Rehman,Awais Sani,Cyrille Chavet,Philippe Coussy"
Erasure schemes using generalized polar codes: Zero-undetected-error capacity and performance trade-offs,"Rajai Nasser"
An improved low-complexity sum-product decoding algorithm for low-density parity-check codes,""
Performance analysis and code optimization of low density parity-check codes on Rayleigh fading channels,"Jilei Hou,Paul H. Siegel,Laurence B. Milstein"
High Throughput Random Access via Codes on Graphs: Coded Slotted ALOHA,"Enrico Paolini,Gianluigi Liva,Marco Chiani"
Capacity-Achieving Rateless Polar Codes,"Bin Li,David Tse,Kai Chen,Hui Shen"
Capacity-Achieving Rate-Compatible Polar Codes,"Song-Nam Hong,Dennis Hui,Ivana Maric"
Low-density parity check codes over GF(q),"Matthew C. Davey,David J. C. MacKay"
Experimental Evaluation of Zp-ofdm Scheme in Time Varying Underwater Multipath Channel,"Rehan Khan,Qiao Gang,Asim Ismail"
Efficient decoder design for high-throughput LDPC decoding,"Zhiqiang Cui,Zhongfeng Wang,Xinmiao Zhang,Qingwei Jia"
Soft McEliece: MDPC code-based McEliece cryptosystems with very compact keys through real-valued intentional errors,"Marco Baldi,Paolo Santini,Franco Chiaraluce"
Coded Modulation for Fiber-Optic Networks,"Erik Agrell,Joseph M. Kahn,Magnus Karlsson"
A study of unsupervised adaptive crowdsourcing,"George Kesidis,Aditya Kurve"
Single and Multiple Antenna Communication Systems: Performance Analysis and Joint Source-channel Coding,"Firouz Behnamfar,Steve Blostein,Lorne Campbell"
On the Capacity of Data-dependent Autoregressive Noise Channels *,"Shaohua Yang,Aleksandar Kavči´c"
On the Impact of Information Theory on Today's Communication Technology,"Johannes B Huber,Robert F H Fischer"
On the Enhancement of Ldpc Codes Used in Wimax,"Khaled Elmahgoub,Mohammed Nafie"
Mimo-ofdm over an Underwater Acoustic Channel,"Baosheng Li,Shengli Zhou,Milica Stojanovic,Lee Freitag,Jie Huang,Peter Willett"
Error Floors of LDPC Coded BICM,"Aditya Ramamoorthy,Nedeljko Varnica"
Tree Expectation Propagation for ML Decoding of LDPC Codes over the BEC,"Luis Salamanca,Pablo M. Olmos,Juan José Murillo-Fuentes,Fernando Pérez-Cruz"
Performance Evaluation of Adaptive Ldpc Coded Modulation Cooperative Wireless Communication System with Best-relay Selection,"Ahmed S Mohamed,Mohammed Abd-Elnaby,Sami A El-Dolil"
A New Channel Coding Technique to Approach the Channel Capacity,"Mahesh Patel,A Annamalai"
CS image reconstruction by novel small length LDPC code,""
Hybrid hard-decision iterative decoding of regular low-density parity-check codes,"Pirouz Zarrinkhat,Amir H. Banihashemi"
Matrix Algebra and Error-correcting Codes,"Aaron Fenyes"
Generalized and doubly generalized LDPC codes with random component codes for the binary erasure channel,"Enrico Paolini,Marc P. C. Fossorier,Marco Chiani"
Analysis and Design of Binary Message Passing Decoders,"Gottfried Lechner,Troels Pedersen,Gerhard Kramer"
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,"Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke"
Exponents of polar codes using algebraic geometric code kernels,"Sarah E. Anderson,Gretchen L. Matthews"
Channel Code-Division Multiple Access and Its Multilevel-Structured LDPC-Based Instantiation,"Nicholas Bonello,Rong Zhang,Sheng Chen,Lajos Hanzo"
Quantum Belief Propagation Algorithm versus Suzuki-Trotter approach in the one-dimensional Heisenberg chains,"Farzad Ghafari Jouneghani,Mohamad Babazadeh,Davoud Salami,Hossein Movla"
On the Parity-Check Density and Achievable Rates of LDPC Codes,"Gil Wiechman,Igal Sason"
Spinal codes,"Jonathan Perry,Peter Iannucci,Kermin Fleming,Hari Balakrishnan,Devavrat Shah"
Dynamic Power Management for the Iterative Decoding of Turbo Codes,"Erick Amador,Raymond Knopp,Renaud Pacalet,Vincent Rezard"
Compressive Coded Modulation for Seamless Rate Adaptation,"Hao Cui,Chong Luo,Jun Wu,Chang Wen Chen,Feng Wu"
Low-Complexity Soft Decoding of Huffman Codes and Iterative Joint Source Channel Decoding,"Amin Zribi,Ramesh Pyndiah,Sonia Zaibi,Frédéric Guilloud,Ammar Bouallègue"
Exploiting the Error-correcting Capabilities of Low Density Parity Check Codes in Distributed Video Coding Using Optical Flow,"Lars Lau Rakêt,Jacob Søgaard,Matteo Salmistraro,Huynh Van Luong,Søren Forchhammer"
Polarization for arbitrary discrete memoryless channels,"Eren Sasoglu,Emre Telatar,Erdal Arikan"
Finding the Exhaustive List of Small Fully Absorbing Sets and Designing the Corresponding Low Error-Floor Decoder,"Gyu Bum Kyung,Chih-Chun Wang"
Performance of Binary Polar Codes with High- Dimensional Kernel 1,"Vera Miloslavskaya,Peter Trifonov"
Rate-Compatible Protograph-based LDPC Codes for Inter-Symbol Interference Channels,"Thuy Van Nguyen,Aria Nosratinia,Dariush Divsalar"
Variable-rate Coding with Feedback for Universal Communication Systems *,"Shriram Sarvotham,Dror Baron,Richard G Baraniuk"
Successive cancellation decoding of polar codes using stochastic computing,"Bo Yuan,Keshab K. Parhi"
Partial Network Coding: Theory and Application for Continuous Sensor Data Collection,"Dan Wang,Qian Zhang,Jiangchuan Liu"
Error correcting codes and spatial coupling,"Rafah El-Khatib,Jean Barbier,Ayaka Sakata,Rüdiger L. Urbanke"
A Novel Architecture for Scalable  High Throughput  Multi-standard LDPC Decoder,"Muhammad Awais,Ashwani Singh,Emmanuel Boutillon,Guido Masera"
Comparaison De Performance Et De Complexité D'algorithmes De Décodage Pondéré De Code Cortex,"Patrick Adde,Matthieu Arzel"
Polar Codes with Mixed Kernels,"Noam Presman,Ofer Shapira,Simon Litsyn"
Iterative Multisymbol Noncoherent Reception of Coded CPFSK,"Matthew C. Valenti,Shi Cheng,Don J. Torrieri"
Fast Simulation for the Performance Evaluation of Ldpc Codes Using Fast Flat Histogram Method,"S Kakakhail,S Reynal,D Declercq,V Heinrich"
Iterative decoding beyond belief propagation,"Shiva Kumar Planjery,Shashi Kiran Chilappagari,Bane V. Vasic,David Declercq,Ludovic Danjean"
Adaptive MAP Detection via the EM Algorithm for LDPC-Coded MIMO-OFDM Mobile Communications,"Tsuyoshi Kashima,Kazuhiko Fukawa,Hiroshi Suzuki"
Hybrid Decoding of Finite Geometry LDPC Codes,"Guangwen Li,Dashe Li,Yuling Wang,Wenyan Sun"
Near-Shannon-Limit Linear-Time-Encodable Nonbinary Irregular LDPC Codes,"Jie Huang,Shengli Zhou,Peter Willett"
